,tconst,primaryTitle,originalTitle,year,runtimeMinutes,genres,averageRating,numVotes
0,tt0069049,The Other Side of the Wind,The Other Side of the Wind,2018,122,Drama,6.9,4937
1,tt0170651,T.G.M. - osvoboditel,T.G.M. - osvoboditel,2018,60,Documentary,7.5,6
2,tt0192528,Heaven & Hell,Reverse Heaven,2018,104,Drama,3.9,74
3,tt0253093,Gangavataran,Gangavataran,2018,134,\N,6.6,8
4,tt0262759,Seven Jews from My Class,Siedmiu Zydów z mojej klasy,2018,40,Documentary,7.0,6
5,tt0276568,To Chase a Million,To Chase a Million,2018,97,"Action,Drama",7.4,5
6,tt0328810,My Land,Aamaar Bhuvan,2018,102,"Drama,Family",7.9,61
7,tt0337981,A Documentary on the Making of 'Gore Vidal's Caligula',A Documentary on the Making of 'Gore Vidal's Caligula',2018,62,"Adult,Documentary",6.7,63
8,tt0347307,The Stone Cross,Kaminnyy khrest,2018,80,Drama,7.3,128
9,tt0360556,Fahrenheit 451,Fahrenheit 451,2018,100,"Drama,Sci-Fi,Thriller",4.9,15202
10,tt0365545,Nappily Ever After,Nappily Ever After,2018,98,"Comedy,Drama,Romance",6.4,6687
11,tt0427543,A Million Little Pieces,A Million Little Pieces,2018,113,Drama,6.5,285
12,tt0432010,The Queen of Sheba Meets the Atom Man,The Queen of Sheba Meets the Atom Man,2018,110,Comedy,7.1,48
13,tt0825334,Caravaggio and My Mother the Pope,Caravaggio and My Mother the Pope,2018,90,"Comedy,Drama",8.8,53
14,tt0850247,Amsteroid,Amsteroid,2018,98,Sci-Fi,5.6,13
15,tt0859635,Super Troopers 2,Super Troopers 2,2018,99,"Comedy,Crime,Mystery",6.1,21337
16,tt0862930,Dukun,Dukun,2018,108,"Horror,Thriller",6.9,337
17,tt0972544,Back Roads,Back Roads,2018,101,"Crime,Drama,Thriller",7.0,3482
18,tt10005184,Lysis,Lysis,2018,98,Adventure,8.1,15
19,tt10009602,Meu Nome é Daniel,Meu Nome é Daniel,2018,82,Documentary,7.0,8
20,tt10021804,Don't Work (1968 - 2018),Ne travaille pas (1968 - 2018),2018,88,Documentary,6.3,10
21,tt10022158,Worlds of Ursula K. Le Guin,Worlds of Ursula K. Le Guin,2018,68,Documentary,7.8,79
22,tt10026686,Piedone nyomában,Piedone nyomában,2018,65,Documentary,7.7,39
23,tt10034236,Super Sketch,Super Sketch,2018,119,Thriller,7.9,17
24,tt10043732,Oblepikhovoe leto,Oblepikhovoe leto,2018,87,"Biography,Drama",6.4,5
25,tt10045014,Rangu,Rangu,2018,156,Action,4.6,10
26,tt10049238,Joan Miró: The Inner Fire,Miró contra Miró,2018,61,Documentary,7.6,9
27,tt10062150,Yücel'in Çiçekleri,Yücel'in Çiçekleri,2018,69,"Documentary,History",8.4,65
28,tt10062286,Lustrum,Lustrum,2018,90,Documentary,5.7,19
29,tt10078502,Stars in the Sky: A Hunting Story,Stars in the Sky: A Hunting Story,2018,75,Documentary,9.3,19
30,tt10079698,Attack in LA,Attack in LA,2018,80,Action,4.3,27
31,tt10084752,American Relapse,American Relapse,2018,105,Documentary,6.1,15
32,tt10112464,Frank & Fearless,Frank & Fearless,2018,97,Comedy,4.8,18
33,tt10125986,Watakushi no dorei ni narinasai dai ni sho go shujin-sama to yobasete kudasai,Watakushi no dorei ni narinasai dai ni sho go shujin-sama to yobasete kudasai,2018,104,Romance,4.9,16
34,tt10127228,Watakushi no dorei ni narinasai dai san sho o ma e shidai,Watakushi no dorei ni narinasai dai san sho o ma e shidai,2018,104,Romance,4.0,5
35,tt10128580,White Mama,White Mama,2018,97,Documentary,7.7,9
36,tt10131904,Vse ili nichego,Vse ili nichego,2018,85,Comedy,5.2,23
37,tt10140138,Krocken,Krocken,2018,82,"Comedy,Drama",3.5,35
38,tt10140532,Into_nation of Big Odessa,Into_nation of Big Odessa,2018,104,Documentary,6.5,6
39,tt10153626,A Minha Avó Trelotótó,A Minha Avó Trelotótó,2018,174,"Biography,Documentary",6.0,6
40,tt10153730,Sacavém,Sacavém,2018,65,Drama,5.4,5
41,tt10163050,Inga Can Hear,Inga Can Hear,2018,60,Documentary,6.8,5
42,tt10174382,Senses 1&2,Senses 1&2,2018,139,Drama,4.7,27
43,tt10174464,Senses 3&4,Senses 3&4,2018,85,Drama,3.9,23
44,tt10174546,Senses 5,Senses 5,2018,75,Drama,3.9,23
45,tt10176328,Exteriores: Mulheres Brasileiras na Diplomacia,Exteriores: Mulheres Brasileiras na Diplomacia,2018,52,Documentary,10.0,5
46,tt10177960,Dreaming of a Vetter World,Dreaming of a Vetter World,2018,77,Documentary,9.3,7
47,tt10178280,Mangoshake,Mangoshake,2018,104,Comedy,5.4,5
48,tt10178972,Baby Occult: Baby Tumbal Baby Die,Bayi Gaib: Bayi Tumbal Bayi Mati,2018,93,Horror,5.3,6
49,tt10182822,Loro,Loro,2018,151,"Biography,Drama",6.7,1545
50,tt10192640,The Riot and the Dance,The Riot and the Dance,2018,83,\N,8.8,5
51,tt10197354,Ikinci Pärdä,Ikinci Pärdä,2018,72,\N,8.8,97
52,tt10203480,<3,<3,2018,65,Documentary,5.2,5
53,tt10204300,Shwe Kyar,Shwe Kyar,2018,131,Drama,5.4,13
54,tt10207850,Killer in Law,Killer in Law,2018,90,Thriller,5.2,125
55,tt10217930,Wiren,Wiren,2018,105,Drama,7.6,5
56,tt10274598,A Killer Awaits,A Killer Awaits,2018,85,Thriller,4.6,5
57,tt10292116,Está Todo Bien,Está Todo Bien,2018,70,Documentary,6.8,18
58,tt10340820,Anori,Anori,2018,85,Drama,6.9,9
59,tt1034415,Suspiria,Suspiria,2018,152,"Fantasy,Horror,Mystery",6.8,45418
60,tt10353736,Fa Hai,Fa Hai,2018,95,"Action,Drama,Fantasy",7.4,20
61,tt10368582,Chinnada Gombe,Chinnada Gombe,2018,110,Horror,8.6,43
62,tt10376478,Nature Cat: The Return of Bad Dog Bart,Nature Cat: The Return of Bad Dog Bart,2018,56,Animation,5.5,8
63,tt10378660,The Dark Knight: The Ballad of the N Word,The Dark Knight: The Ballad of the N Word,2018,129,"Comedy,Drama",9.2,25
64,tt10385482,Dash Akol,Dash Akol,2018,85,"Drama,Romance",4.7,15
65,tt10399736,Fagot,Fagot,2018,61,Comedy,4.7,7
66,tt10408656,En armé av älskande,En armé av älskande,2018,72,Documentary,6.9,11
